[10-Feb-2015 10:31:38 America/Sao_Paulo] PHP Fatal error:  Call to undefined method SubCategoria::getImagens() in /var/www/sistemas/siganet/medsy/admin/classes/commands/AdmSubCategoria.php on line 32
[10-Feb-2015 11:27:51 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Categoria::getSubCategorias() in /var/www/sistemas/siganet/medsy/produto.php on line 93
[10-Feb-2015 11:31:07 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Categoria::getProdutos() in /var/www/sistemas/siganet/medsy/produto.php on line 94
[10-Feb-2015 15:44:57 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/medsy/admin/views/produtos.php on line 48
[10-Feb-2015 15:45:33 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/medsy/admin/views/produtos.php on line 48
[10-Feb-2015 15:45:41 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/medsy/admin/views/produtos.php on line 48
[11-Feb-2015 10:39:23 America/Sao_Paulo] PHP Warning:  implode(): Invalid arguments passed in /var/www/sistemas/siganet/medsy/produto.php on line 135
[11-Feb-2015 10:39:23 America/Sao_Paulo] PHP Warning:  implode(): Invalid arguments passed in /var/www/sistemas/siganet/medsy/produto.php on line 135
[25-Feb-2015 08:51:26 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Pagina::getTitulo() in /var/www/sistemas/siganet/daniel/repretec/admin/views/paginas.php on line 27
[25-Feb-2015 09:09:41 America/Sao_Paulo] PHP Warning:  include(pagina.php): failed to open stream: No such file or directory in /var/www/sistemas/siganet/daniel/repretec/admin/views/base.php on line 57
[25-Feb-2015 09:09:41 America/Sao_Paulo] PHP Warning:  include(): Failed opening 'pagina.php' for inclusion (include_path='.:/usr/local/lib/php') in /var/www/sistemas/siganet/daniel/repretec/admin/views/base.php on line 57
[25-Feb-2015 09:11:23 America/Sao_Paulo] PHP Warning:  include(pagina.php): failed to open stream: No such file or directory in /var/www/sistemas/siganet/daniel/repretec/admin/views/base.php on line 57
[25-Feb-2015 09:11:23 America/Sao_Paulo] PHP Warning:  include(): Failed opening 'pagina.php' for inclusion (include_path='.:/usr/local/lib/php') in /var/www/sistemas/siganet/daniel/repretec/admin/views/base.php on line 57
[25-Feb-2015 09:29:10 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 137
[25-Feb-2015 09:44:10 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 24
[25-Feb-2015 09:44:54 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 24
[25-Feb-2015 09:44:57 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 24
[25-Feb-2015 09:45:00 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 24
[25-Feb-2015 09:45:09 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 24
